GameId,ScannedCount,NoShowCount,GateOpenTime
1001,2408,202,2023-10-14 17:30:00
1002,2001,397,2023-10-16 17:30:00
1003,1383,239,2023-10-18 17:30:00
1004,1879,367,2023-10-21 17:30:00
1005,2629,250,2023-10-26 17:30:00
1006,1210,99,2023-10-31 17:30:00
1007,1651,336,2023-11-02 17:30:00
1008,2551,358,2023-11-04 17:30:00
1009,1648,353,2023-11-06 17:30:00
1010,1100,105,2023-11-09 17:30:00
1011,1661,207,2023-11-11 17:30:00
1012,1110,154,2023-11-14 17:30:00
1013,2414,130,2023-11-17 17:30:00
1014,1300,256,2023-11-19 17:30:00
1015,2278,125,2023-11-22 17:30:00
1016,2048,112,2023-11-27 17:30:00
1017,2355,240,2023-12-02 17:30:00
1018,2236,161,2023-12-05 17:30:00
1019,2032,360,2023-12-07 17:30:00
1020,1813,194,2023-12-12 17:30:00
1021,1585,127,2023-12-17 17:30:00
1022,1946,309,2023-12-19 17:30:00
1023,2179,320,2023-12-22 17:30:00
1024,2480,455,2023-12-27 17:30:00
1025,1885,276,2023-12-29 17:30:00
1026,1462,274,2024-01-02 17:30:00
1027,1905,184,2024-01-07 17:30:00
1028,1908,382,2024-01-09 17:30:00
1029,2576,479,2024-01-13 17:30:00
1030,1612,175,2024-01-15 17:30:00
1031,1625,297,2024-01-19 17:30:00
1032,1151,93,2024-01-24 17:30:00
1033,2744,215,2024-01-28 17:30:00
1034,1589,200,2024-02-01 17:30:00
1035,1656,207,2024-02-06 17:30:00
1036,1501,156,2024-02-10 17:30:00
1037,1521,146,2024-02-15 17:30:00
1038,1784,295,2024-02-20 17:30:00
1039,1414,111,2024-02-25 17:30:00
1040,1435,163,2024-02-28 17:30:00
1041,2593,532,2024-03-03 17:30:00
1042,1698,130,2024-03-07 17:30:00
1043,1266,117,2024-10-13 17:30:00
1044,2810,238,2024-10-16 17:30:00
1045,2487,425,2024-10-18 17:30:00
1046,1610,250,2024-10-21 17:30:00
1047,1074,198,2024-10-24 17:30:00
1048,2776,203,2024-10-28 17:30:00
1049,1204,203,2024-10-30 17:30:00
1050,1077,201,2024-11-04 17:30:00
1051,1743,360,2024-11-06 17:30:00
1052,1400,260,2024-11-08 17:30:00
1053,2154,153,2024-11-11 17:30:00
1054,1939,286,2024-11-15 17:30:00
1055,1548,258,2024-11-17 17:30:00
1056,2602,562,2024-11-19 17:30:00
1057,2664,486,2024-11-21 17:30:00
1058,2014,145,2024-11-26 17:30:00
1059,2401,352,2024-11-30 17:30:00
1060,2424,132,2024-12-02 17:30:00
1061,2765,426,2024-12-07 17:30:00
1062,2051,247,2024-12-09 17:30:00
1063,2047,157,2024-12-13 17:30:00
1064,1439,252,2024-12-16 17:30:00
1065,2595,454,2024-12-20 17:30:00
1066,2625,483,2024-12-22 17:30:00
1067,1993,411,2024-12-24 17:30:00
1068,1712,275,2024-12-28 17:30:00
1069,1794,108,2024-12-31 17:30:00
1070,1493,227,2025-01-04 17:30:00
1071,2346,137,2025-01-07 17:30:00
1072,1700,96,2025-01-12 17:30:00
1073,2105,124,2025-01-15 17:30:00
1074,2320,372,2025-01-17 17:30:00
1075,1561,318,2025-01-22 17:30:00
1076,1862,189,2025-01-26 17:30:00
1077,1596,200,2025-01-30 17:30:00
1078,1971,137,2025-02-01 17:30:00
1079,1638,226,2025-02-05 17:30:00
1080,2723,464,2025-02-07 17:30:00
1081,1487,325,2025-02-11 17:30:00
1082,1261,242,2025-02-13 17:30:00
1083,1583,322,2025-02-16 17:30:00
1084,1034,167,2025-02-21 17:30:00
