GameId,Season,Opponent,GameDate,DayType,IsWeekend,PromoFlag
1001,2023-24,PHI,2023-10-14,Other,1,0
1002,2023-24,NYK,2023-10-16,Weeknight,0,0
1003,2023-24,CHA,2023-10-18,Weeknight,0,0
1004,2023-24,MIA,2023-10-21,Other,1,1
1005,2023-24,NYK,2023-10-26,Weeknight,0,0
1006,2023-24,MIA,2023-10-31,Weeknight,0,0
1007,2023-24,MIL,2023-11-02,Weeknight,0,0
1008,2023-24,NOP,2023-11-04,Other,1,0
1009,2023-24,MIL,2023-11-06,Weeknight,0,1
1010,2023-24,ATL,2023-11-09,Weeknight,0,0
1011,2023-24,NOP,2023-11-11,Other,1,0
1012,2023-24,CHI,2023-11-14,Weeknight,0,0
1013,2023-24,CHA,2023-11-17,Other,0,1
1014,2023-24,NOP,2023-11-19,Other,1,1
1015,2023-24,DAL,2023-11-22,Weeknight,0,0
1016,2023-24,LAL,2023-11-27,Weeknight,0,0
1017,2023-24,CHA,2023-12-02,Other,1,0
1018,2023-24,UTA,2023-12-05,Weeknight,0,0
1019,2023-24,NOP,2023-12-07,Weeknight,0,0
1020,2023-24,MIN,2023-12-12,Weeknight,0,0
1021,2023-24,ATL,2023-12-17,Other,1,0
1022,2023-24,CHI,2023-12-19,Weeknight,0,0
1023,2023-24,LAL,2023-12-22,Other,0,0
1024,2023-24,IND,2023-12-27,Weeknight,0,1
1025,2023-24,LAL,2023-12-29,Other,0,0
1026,2023-24,WAS,2024-01-02,Weeknight,0,0
1027,2023-24,NOP,2024-01-07,Other,1,0
1028,2023-24,GSW,2024-01-09,Weeknight,0,1
1029,2023-24,DAL,2024-01-13,Other,1,0
1030,2023-24,MIA,2024-01-15,Weeknight,0,0
1031,2023-24,DEN,2024-01-19,Other,0,0
1032,2023-24,ATL,2024-01-24,Weeknight,0,0
1033,2023-24,BOS,2024-01-28,Other,1,0
1034,2023-24,BKN,2024-02-01,Weeknight,0,0
1035,2023-24,MIA,2024-02-06,Weeknight,0,0
1036,2023-24,PHI,2024-02-10,Other,1,0
1037,2023-24,ORL,2024-02-15,Weeknight,0,0
1038,2023-24,NYK,2024-02-20,Weeknight,0,1
1039,2023-24,HOU,2024-02-25,Other,1,0
1040,2023-24,GSW,2024-02-28,Weeknight,0,0
1041,2023-24,UTA,2024-03-03,Other,1,0
1042,2023-24,PHX,2024-03-07,Weeknight,0,0
1043,2024-25,PHI,2024-10-13,Other,1,1
1044,2024-25,MIL,2024-10-16,Weeknight,0,0
1045,2024-25,DAL,2024-10-18,Other,0,0
1046,2024-25,CLE,2024-10-21,Weeknight,0,0
1047,2024-25,IND,2024-10-24,Weeknight,0,0
1048,2024-25,PHI,2024-10-28,Weeknight,0,0
1049,2024-25,DET,2024-10-30,Weeknight,0,0
1050,2024-25,ORL,2024-11-04,Weeknight,0,0
1051,2024-25,DAL,2024-11-06,Weeknight,0,0
1052,2024-25,TOR,2024-11-08,Other,0,1
1053,2024-25,DET,2024-11-11,Weeknight,0,1
1054,2024-25,MEM,2024-11-15,Other,0,1
1055,2024-25,NOP,2024-11-17,Other,1,1
1056,2024-25,CHA,2024-11-19,Weeknight,0,0
1057,2024-25,SAC,2024-11-21,Weeknight,0,0
1058,2024-25,PHI,2024-11-26,Weeknight,0,0
1059,2024-25,MEM,2024-11-30,Other,1,0
1060,2024-25,CHI,2024-12-02,Weeknight,0,0
1061,2024-25,DAL,2024-12-07,Other,1,0
1062,2024-25,PHI,2024-12-09,Weeknight,0,1
1063,2024-25,POR,2024-12-13,Other,0,0
1064,2024-25,SAS,2024-12-16,Weeknight,0,1
1065,2024-25,PHI,2024-12-20,Other,0,0
1066,2024-25,LAL,2024-12-22,Other,1,0
1067,2024-25,UTA,2024-12-24,Weeknight,0,0
1068,2024-25,OKC,2024-12-28,Other,1,1
1069,2024-25,HOU,2024-12-31,Weeknight,0,0
1070,2024-25,DEN,2025-01-04,Other,1,0
1071,2024-25,LAC,2025-01-07,Weeknight,0,0
1072,2024-25,POR,2025-01-12,Other,1,0
1073,2024-25,SAS,2025-01-15,Weeknight,0,0
1074,2024-25,BOS,2025-01-17,Other,0,0
1075,2024-25,CLE,2025-01-22,Weeknight,0,1
1076,2024-25,DET,2025-01-26,Other,1,0
1077,2024-25,CHA,2025-01-30,Weeknight,0,1
1078,2024-25,MIL,2025-02-01,Other,1,0
1079,2024-25,TOR,2025-02-05,Weeknight,0,0
1080,2024-25,DAL,2025-02-07,Other,0,0
1081,2024-25,LAC,2025-02-11,Weeknight,0,0
1082,2024-25,OKC,2025-02-13,Weeknight,0,0
1083,2024-25,DAL,2025-02-16,Other,1,0
1084,2024-25,LAC,2025-02-21,Other,0,0
