CustomerId,AccountId,PlanId,Season,PriorSpend,RenewedFlag,RenewalDate,RenewalAmount
3,100001,4,2023-24,3238.73,1,2023-08-01,3335.89
3,100001,4,2024-25,5023.67,1,2024-08-01,5174.38
4,100002,4,2023-24,1265.78,1,2023-08-01,1303.75
4,100002,4,2024-25,994.97,1,2024-08-01,1024.82
8,100004,3,2023-24,4540.73,1,2023-08-01,4676.95
8,100004,3,2024-25,3905.86,1,2024-08-01,4023.04
10,100005,3,2023-24,2923.99,1,2023-08-01,3011.71
10,100005,2,2024-25,1474.91,1,2024-08-01,1519.16
12,100006,4,2023-24,995.47,1,2023-08-01,1025.33
12,100006,4,2024-25,4062.87,0,2024-08-01,0.0
13,100006,4,2023-24,2396.95,1,2023-08-01,2468.86
13,100006,2,2024-25,3887.45,1,2024-08-01,4004.07
15,100007,2,2023-24,2651.79,0,2023-08-01,0.0
15,100007,3,2024-25,4228.83,1,2024-08-01,4355.69
16,100008,3,2023-24,1830.0,1,2023-08-01,1884.9
16,100008,2,2024-25,5377.01,1,2024-08-01,5538.32
21,100010,3,2023-24,5244.84,1,2023-08-01,5402.19
21,100010,2,2024-25,2216.79,0,2024-08-01,0.0
27,100013,3,2023-24,1479.68,0,2023-08-01,0.0
27,100013,4,2024-25,1659.21,0,2024-08-01,0.0
33,100016,2,2023-24,914.59,1,2023-08-01,942.03
33,100016,2,2024-25,4976.82,1,2024-08-01,5126.12
41,100020,2,2023-24,4607.35,1,2023-08-01,4745.57
41,100020,2,2024-25,3353.99,1,2024-08-01,3454.61
42,100021,3,2023-24,4431.9,1,2023-08-01,4564.86
42,100021,4,2024-25,4233.24,1,2024-08-01,4360.24
45,100022,4,2023-24,1876.42,1,2023-08-01,1932.71
45,100022,4,2024-25,5098.66,1,2024-08-01,5251.62
47,100023,3,2023-24,4805.43,0,2023-08-01,0.0
47,100023,2,2024-25,4161.88,1,2024-08-01,4286.74
50,100025,4,2023-24,5235.9,0,2023-08-01,0.0
50,100025,4,2024-25,1509.12,0,2024-08-01,0.0
53,100026,2,2023-24,4735.51,1,2023-08-01,4877.58
53,100026,2,2024-25,2140.41,0,2024-08-01,0.0
60,100030,3,2023-24,5506.51,1,2023-08-01,5671.71
60,100030,4,2024-25,3426.23,1,2024-08-01,3529.02
62,100031,2,2023-24,3883.51,0,2023-08-01,0.0
62,100031,4,2024-25,1430.93,1,2024-08-01,1473.86
63,100031,3,2023-24,5443.18,1,2023-08-01,5606.48
63,100031,2,2024-25,2697.37,1,2024-08-01,2778.29
75,100037,4,2023-24,1851.02,1,2023-08-01,1906.55
75,100037,2,2024-25,2021.79,1,2024-08-01,2082.44
81,100040,4,2023-24,4678.08,1,2023-08-01,4818.42
81,100040,2,2024-25,613.08,1,2024-08-01,631.47
90,100045,2,2023-24,5178.54,1,2023-08-01,5333.9
90,100045,4,2024-25,5845.97,1,2024-08-01,6021.35
92,100046,2,2023-24,772.2,0,2023-08-01,0.0
92,100046,2,2024-25,2361.05,1,2024-08-01,2431.88
93,100046,3,2023-24,3642.06,0,2023-08-01,0.0
93,100046,2,2024-25,3624.57,1,2024-08-01,3733.31
99,100049,3,2023-24,2482.35,1,2023-08-01,2556.82
99,100049,2,2024-25,4831.92,0,2024-08-01,0.0
100,100050,2,2023-24,3582.85,1,2023-08-01,3690.34
100,100050,4,2024-25,2106.97,1,2024-08-01,2170.18
104,100052,4,2023-24,3981.08,1,2023-08-01,4100.51
104,100052,4,2024-25,4741.92,1,2024-08-01,4884.18
110,100055,2,2023-24,1844.34,1,2023-08-01,1899.67
110,100055,3,2024-25,2047.76,1,2024-08-01,2109.19
111,100055,3,2023-24,5177.92,0,2023-08-01,0.0
111,100055,4,2024-25,4820.72,1,2024-08-01,4965.34
112,100056,3,2023-24,2540.2,1,2023-08-01,2616.41
112,100056,2,2024-25,3836.41,1,2024-08-01,3951.5
115,100057,3,2023-24,5633.68,1,2023-08-01,5802.69
115,100057,4,2024-25,2015.29,1,2024-08-01,2075.75
116,100058,3,2023-24,756.42,1,2023-08-01,779.11
116,100058,2,2024-25,768.44,1,2024-08-01,791.49
117,100058,3,2023-24,1644.92,1,2023-08-01,1694.27
117,100058,4,2024-25,2424.55,1,2024-08-01,2497.29
119,100059,2,2023-24,1473.22,1,2023-08-01,1517.42
119,100059,2,2024-25,2829.38,1,2024-08-01,2914.26
121,100060,2,2023-24,3879.69,0,2023-08-01,0.0
121,100060,4,2024-25,5388.57,0,2024-08-01,0.0
122,100061,2,2023-24,4245.83,1,2023-08-01,4373.2
122,100061,3,2024-25,4309.15,1,2024-08-01,4438.42
123,100061,3,2023-24,4231.78,1,2023-08-01,4358.73
123,100061,4,2024-25,4889.28,1,2024-08-01,5035.96
134,100067,2,2023-24,4310.07,1,2023-08-01,4439.37
134,100067,3,2024-25,3741.53,1,2024-08-01,3853.78
141,100070,4,2023-24,1443.94,1,2023-08-01,1487.26
141,100070,4,2024-25,5695.88,1,2024-08-01,5866.76
144,100072,2,2023-24,3874.54,1,2023-08-01,3990.78
144,100072,4,2024-25,1097.97,1,2024-08-01,1130.91
146,100073,2,2023-24,3423.27,0,2023-08-01,0.0
146,100073,4,2024-25,4424.76,1,2024-08-01,4557.5
149,100074,4,2023-24,2645.7,1,2023-08-01,2725.07
149,100074,2,2024-25,3762.27,1,2024-08-01,3875.14
154,100077,4,2023-24,1928.18,0,2023-08-01,0.0
154,100077,3,2024-25,1403.53,1,2024-08-01,1445.64
158,100079,2,2023-24,3398.39,1,2023-08-01,3500.34
158,100079,2,2024-25,2387.8,1,2024-08-01,2459.43
166,100083,2,2023-24,4451.7,1,2023-08-01,4585.25
166,100083,3,2024-25,2662.99,0,2024-08-01,0.0
167,100083,2,2023-24,639.53,1,2023-08-01,658.72
167,100083,4,2024-25,3230.58,1,2024-08-01,3327.5
168,100084,3,2023-24,4414.43,1,2023-08-01,4546.86
168,100084,3,2024-25,2925.86,1,2024-08-01,3013.64
172,100086,3,2023-24,927.58,1,2023-08-01,955.41
172,100086,4,2024-25,1642.75,1,2024-08-01,1692.03
175,100087,4,2023-24,1861.83,1,2023-08-01,1917.68
175,100087,2,2024-25,3089.88,1,2024-08-01,3182.58
178,100089,3,2023-24,678.3,1,2023-08-01,698.65
178,100089,4,2024-25,960.68,0,2024-08-01,0.0
179,100089,4,2023-24,5443.03,1,2023-08-01,5606.32
179,100089,3,2024-25,3518.34,1,2024-08-01,3623.89
185,100092,2,2023-24,1078.87,1,2023-08-01,1111.24
185,100092,3,2024-25,5414.27,1,2024-08-01,5576.7
192,100096,3,2023-24,5091.12,1,2023-08-01,5243.85
192,100096,3,2024-25,3109.83,1,2024-08-01,3203.12
199,100099,3,2023-24,677.53,1,2023-08-01,697.86
199,100099,3,2024-25,3148.48,1,2024-08-01,3242.93
203,100101,4,2023-24,2121.72,1,2023-08-01,2185.37
203,100101,2,2024-25,5864.56,1,2024-08-01,6040.5
207,100103,3,2023-24,1418.61,1,2023-08-01,1461.17
207,100103,2,2024-25,3551.59,1,2024-08-01,3658.14
210,100105,2,2023-24,2040.98,1,2023-08-01,2102.21
210,100105,3,2024-25,2590.61,1,2024-08-01,2668.33
211,100105,2,2023-24,4547.61,1,2023-08-01,4684.04
211,100105,2,2024-25,4240.43,1,2024-08-01,4367.64
214,100107,2,2023-24,2954.44,1,2023-08-01,3043.07
214,100107,4,2024-25,5937.24,1,2024-08-01,6115.36
223,100111,4,2023-24,4882.61,0,2023-08-01,0.0
223,100111,2,2024-25,4055.03,1,2024-08-01,4176.68
228,100114,2,2023-24,1304.21,1,2023-08-01,1343.34
228,100114,3,2024-25,2508.28,1,2024-08-01,2583.53
229,100114,2,2023-24,940.0,1,2023-08-01,968.2
229,100114,4,2024-25,4743.96,0,2024-08-01,0.0
231,100115,3,2023-24,819.84,0,2023-08-01,0.0
231,100115,3,2024-25,4139.14,1,2024-08-01,4263.31
239,100119,4,2023-24,1992.01,0,2023-08-01,0.0
239,100119,2,2024-25,3241.78,1,2024-08-01,3339.03
241,100120,4,2023-24,2498.56,1,2023-08-01,2573.52
241,100120,4,2024-25,2611.82,1,2024-08-01,2690.17
247,100123,4,2023-24,1021.26,1,2023-08-01,1051.9
247,100123,2,2024-25,3340.71,1,2024-08-01,3440.93
249,100124,3,2023-24,3807.97,1,2023-08-01,3922.21
249,100124,2,2024-25,1125.11,0,2024-08-01,0.0
254,100127,4,2023-24,5449.84,1,2023-08-01,5613.34
254,100127,2,2024-25,1370.48,1,2024-08-01,1411.59
261,100130,4,2023-24,5589.03,1,2023-08-01,5756.7
261,100130,4,2024-25,5372.85,1,2024-08-01,5534.04
262,100131,4,2023-24,4839.72,1,2023-08-01,4984.91
262,100131,4,2024-25,1571.0,1,2024-08-01,1618.13
265,100132,2,2023-24,5196.82,1,2023-08-01,5352.72
265,100132,2,2024-25,3306.06,1,2024-08-01,3405.24
278,100139,4,2023-24,2983.52,1,2023-08-01,3073.03
278,100139,2,2024-25,2175.18,0,2024-08-01,0.0
279,100139,2,2023-24,5566.66,1,2023-08-01,5733.66
279,100139,3,2024-25,5415.58,1,2024-08-01,5578.05
282,100141,2,2023-24,2921.32,0,2023-08-01,0.0
282,100141,4,2024-25,1148.43,1,2024-08-01,1182.88
288,100144,2,2023-24,1059.04,1,2023-08-01,1090.81
288,100144,2,2024-25,3068.19,1,2024-08-01,3160.24
289,100144,4,2023-24,4449.41,1,2023-08-01,4582.89
289,100144,4,2024-25,710.36,0,2024-08-01,0.0
297,100148,3,2023-24,2022.55,1,2023-08-01,2083.23
297,100148,3,2024-25,3868.34,1,2024-08-01,3984.39
302,100151,3,2023-24,1349.38,1,2023-08-01,1389.86
302,100151,3,2024-25,1289.64,0,2024-08-01,0.0
312,100156,4,2023-24,2826.57,1,2023-08-01,2911.37
312,100156,3,2024-25,2338.79,0,2024-08-01,0.0
317,100158,2,2023-24,1701.57,1,2023-08-01,1752.62
317,100158,2,2024-25,3146.09,1,2024-08-01,3240.47
320,100160,2,2023-24,3933.46,1,2023-08-01,4051.46
320,100160,4,2024-25,4512.74,1,2024-08-01,4648.12
323,100161,3,2023-24,1676.41,1,2023-08-01,1726.7
