SeatId,Section,Row,Seat,Zone,PriceTier
1,S1,A,1,Lower,Platinum
2,S1,A,2,Lower,Platinum
3,S1,A,3,Lower,Platinum
4,S1,A,4,Lower,Platinum
5,S1,A,5,Lower,Platinum
6,S1,A,6,Lower,Platinum
7,S1,A,7,Lower,Platinum
8,S1,A,8,Lower,Platinum
9,S1,A,9,Lower,Platinum
10,S1,A,10,Lower,Platinum
11,S1,A,11,Lower,Platinum
12,S1,A,12,Lower,Platinum
13,S1,A,13,Lower,Platinum
14,S1,A,14,Lower,Platinum
15,S1,A,15,Lower,Platinum
16,S1,A,16,Lower,Platinum
17,S1,A,17,Lower,Platinum
18,S1,A,18,Lower,Platinum
19,S1,A,19,Lower,Platinum
20,S1,A,20,Lower,Platinum
21,S1,B,1,Lower,Platinum
22,S1,B,2,Lower,Platinum
23,S1,B,3,Lower,Platinum
24,S1,B,4,Lower,Platinum
25,S1,B,5,Lower,Platinum
26,S1,B,6,Lower,Platinum
27,S1,B,7,Lower,Platinum
28,S1,B,8,Lower,Platinum
29,S1,B,9,Lower,Platinum
30,S1,B,10,Lower,Platinum
31,S1,B,11,Lower,Platinum
32,S1,B,12,Lower,Platinum
33,S1,B,13,Lower,Platinum
34,S1,B,14,Lower,Platinum
35,S1,B,15,Lower,Platinum
36,S1,B,16,Lower,Platinum
37,S1,B,17,Lower,Platinum
38,S1,B,18,Lower,Platinum
39,S1,B,19,Lower,Platinum
40,S1,B,20,Lower,Platinum
41,S1,C,1,Lower,Platinum
42,S1,C,2,Lower,Platinum
43,S1,C,3,Lower,Platinum
44,S1,C,4,Lower,Platinum
45,S1,C,5,Lower,Platinum
46,S1,C,6,Lower,Platinum
47,S1,C,7,Lower,Platinum
48,S1,C,8,Lower,Platinum
49,S1,C,9,Lower,Platinum
50,S1,C,10,Lower,Platinum
51,S1,C,11,Lower,Platinum
52,S1,C,12,Lower,Platinum
53,S1,C,13,Lower,Platinum
54,S1,C,14,Lower,Platinum
55,S1,C,15,Lower,Platinum
56,S1,C,16,Lower,Platinum
57,S1,C,17,Lower,Platinum
58,S1,C,18,Lower,Platinum
59,S1,C,19,Lower,Platinum
60,S1,C,20,Lower,Platinum
61,S1,D,1,Lower,Platinum
62,S1,D,2,Lower,Platinum
63,S1,D,3,Lower,Platinum
64,S1,D,4,Lower,Platinum
65,S1,D,5,Lower,Platinum
66,S1,D,6,Lower,Platinum
67,S1,D,7,Lower,Platinum
68,S1,D,8,Lower,Platinum
69,S1,D,9,Lower,Platinum
70,S1,D,10,Lower,Platinum
71,S1,D,11,Lower,Platinum
72,S1,D,12,Lower,Platinum
73,S1,D,13,Lower,Platinum
74,S1,D,14,Lower,Platinum
75,S1,D,15,Lower,Platinum
76,S1,D,16,Lower,Platinum
77,S1,D,17,Lower,Platinum
78,S1,D,18,Lower,Platinum
79,S1,D,19,Lower,Platinum
80,S1,D,20,Lower,Platinum
81,S1,E,1,Lower,Platinum
82,S1,E,2,Lower,Platinum
83,S1,E,3,Lower,Platinum
84,S1,E,4,Lower,Platinum
85,S1,E,5,Lower,Platinum
86,S1,E,6,Lower,Platinum
87,S1,E,7,Lower,Platinum
88,S1,E,8,Lower,Platinum
89,S1,E,9,Lower,Platinum
90,S1,E,10,Lower,Platinum
91,S1,E,11,Lower,Platinum
92,S1,E,12,Lower,Platinum
93,S1,E,13,Lower,Platinum
94,S1,E,14,Lower,Platinum
95,S1,E,15,Lower,Platinum
96,S1,E,16,Lower,Platinum
97,S1,E,17,Lower,Platinum
98,S1,E,18,Lower,Platinum
99,S1,E,19,Lower,Platinum
100,S1,E,20,Lower,Platinum
101,S1,F,1,Lower,Platinum
102,S1,F,2,Lower,Platinum
103,S1,F,3,Lower,Platinum
104,S1,F,4,Lower,Platinum
105,S1,F,5,Lower,Platinum
106,S1,F,6,Lower,Platinum
107,S1,F,7,Lower,Platinum
108,S1,F,8,Lower,Platinum
109,S1,F,9,Lower,Platinum
110,S1,F,10,Lower,Platinum
111,S1,F,11,Lower,Platinum
112,S1,F,12,Lower,Platinum
113,S1,F,13,Lower,Platinum
114,S1,F,14,Lower,Platinum
115,S1,F,15,Lower,Platinum
116,S1,F,16,Lower,Platinum
117,S1,F,17,Lower,Platinum
118,S1,F,18,Lower,Platinum
119,S1,F,19,Lower,Platinum
120,S1,F,20,Lower,Platinum
121,S1,G,1,Lower,Platinum
122,S1,G,2,Lower,Platinum
123,S1,G,3,Lower,Platinum
124,S1,G,4,Lower,Platinum
125,S1,G,5,Lower,Platinum
126,S1,G,6,Lower,Platinum
127,S1,G,7,Lower,Platinum
128,S1,G,8,Lower,Platinum
129,S1,G,9,Lower,Platinum
130,S1,G,10,Lower,Platinum
131,S1,G,11,Lower,Platinum
132,S1,G,12,Lower,Platinum
133,S1,G,13,Lower,Platinum
134,S1,G,14,Lower,Platinum
135,S1,G,15,Lower,Platinum
136,S1,G,16,Lower,Platinum
137,S1,G,17,Lower,Platinum
138,S1,G,18,Lower,Platinum
139,S1,G,19,Lower,Platinum
140,S1,G,20,Lower,Platinum
141,S1,H,1,Lower,Platinum
142,S1,H,2,Lower,Platinum
143,S1,H,3,Lower,Platinum
144,S1,H,4,Lower,Platinum
145,S1,H,5,Lower,Platinum
146,S1,H,6,Lower,Platinum
147,S1,H,7,Lower,Platinum
148,S1,H,8,Lower,Platinum
149,S1,H,9,Lower,Platinum
150,S1,H,10,Lower,Platinum
151,S1,H,11,Lower,Platinum
152,S1,H,12,Lower,Platinum
153,S1,H,13,Lower,Platinum
154,S1,H,14,Lower,Platinum
155,S1,H,15,Lower,Platinum
156,S1,H,16,Lower,Platinum
157,S1,H,17,Lower,Platinum
158,S1,H,18,Lower,Platinum
159,S1,H,19,Lower,Platinum
160,S1,H,20,Lower,Platinum
161,S1,I,1,Lower,Platinum
162,S1,I,2,Lower,Platinum
163,S1,I,3,Lower,Platinum
164,S1,I,4,Lower,Platinum
165,S1,I,5,Lower,Platinum
166,S1,I,6,Lower,Platinum
167,S1,I,7,Lower,Platinum
168,S1,I,8,Lower,Platinum
169,S1,I,9,Lower,Platinum
170,S1,I,10,Lower,Platinum
171,S1,I,11,Lower,Platinum
172,S1,I,12,Lower,Platinum
173,S1,I,13,Lower,Platinum
174,S1,I,14,Lower,Platinum
175,S1,I,15,Lower,Platinum
176,S1,I,16,Lower,Platinum
177,S1,I,17,Lower,Platinum
