TicketId,SeatId,GameId,CustomerId,SalesChannelId,PricePaid,Discount,SaleDate,Fees,IsRenewal,OrderId
1,2577,1001,4187,1,102.61,0.0,2023-08-02,7.18,0,500001
2,4227,1001,4804,3,90.43,1.33,2023-09-21,6.33,0,500002
3,3826,1001,5403,3,78.81,1.22,2023-10-07,5.52,0,500003
4,3110,1001,1261,3,103.09,0.0,2023-10-09,7.22,0,500004
5,4426,1001,5624,1,86.57,0.0,2023-07-18,6.06,0,500005
6,2038,1001,431,1,83.1,0.0,2023-07-26,5.82,0,500006
7,2252,1001,2061,1,103.01,0.0,2023-08-20,7.21,1,500007
8,5787,1001,2278,3,37.53,3.0,2023-08-09,2.63,0,500008
9,3574,1001,3094,4,91.55,0.0,2023-09-07,6.41,0,500009
10,2766,1001,4746,1,97.12,4.64,2023-08-25,6.8,0,500010
11,1700,1001,4890,4,94.59,0.0,2023-08-22,6.62,0,500011
12,4471,1001,2856,1,90.32,8.65,2023-08-07,6.32,0,500012
13,4992,1001,2465,1,51.76,11.94,2023-10-04,3.62,0,500013
14,597,1001,2047,2,146.43,0.62,2023-10-02,10.25,0,500014
15,2176,1001,1838,2,140.4,10.77,2023-09-18,9.83,1,500015
16,4266,1001,1141,1,66.41,0.18,2023-08-27,4.65,0,500016
17,6236,1001,5410,2,42.79,14.36,2023-08-13,3.0,0,500017
18,2415,1001,3132,2,114.43,0.0,2023-08-14,8.01,1,500018
19,4820,1001,3806,2,42.48,2.27,2023-08-30,2.97,0,500019
20,3276,1001,462,2,81.4,0.0,2023-10-04,5.7,0,500020
21,5006,1001,3661,2,47.96,7.44,2023-07-21,3.36,0,500021
22,5339,1001,304,1,39.65,0.0,2023-09-17,2.78,1,500022
23,5925,1001,632,3,50.23,0.0,2023-08-26,3.52,1,500023
24,1311,1001,3952,4,109.7,1.22,2023-09-24,7.68,0,500024
25,4684,1001,1118,2,21.15,3.35,2023-08-06,1.48,0,500025
26,2765,1001,1409,3,85.35,7.77,2023-10-02,5.97,0,500026
27,915,1001,5735,1,113.6,10.77,2023-08-23,7.95,0,500027
28,4775,1001,3888,2,38.35,0.05,2023-09-12,2.68,0,500028
29,4799,1001,2790,1,43.65,0.89,2023-09-09,3.06,1,500029
30,5726,1001,348,1,34.03,4.21,2023-08-23,2.38,0,500030
31,875,1001,389,4,130.97,1.61,2023-08-06,9.17,1,500031
32,2714,1001,3397,1,96.21,4.15,2023-10-10,6.73,0,500032
33,132,1001,1811,3,119.92,0.0,2023-09-05,8.39,1,500033
34,579,1001,1235,1,132.49,13.26,2023-08-06,9.27,0,500034
35,2851,1001,1029,1,89.96,0.0,2023-08-23,6.3,0,500035
36,5015,1001,5925,1,37.6,9.88,2023-07-29,2.63,0,500036
37,2652,1001,1825,1,95.54,4.3,2023-09-26,6.69,0,500037
38,1848,1001,2338,2,110.26,1.24,2023-10-13,7.72,0,500038
39,2424,1001,369,1,114.41,0.0,2023-09-30,8.01,0,500039
40,4810,1001,4601,1,49.85,2.59,2023-08-12,3.49,0,500040
41,5969,1001,2688,2,44.34,6.64,2023-10-03,3.1,0,500041
42,1948,1001,3670,1,81.18,9.73,2023-09-09,5.68,0,500042
43,4336,1001,1171,2,110.13,0.0,2023-09-07,7.71,0,500043
44,1537,1001,2157,4,141.35,4.86,2023-08-24,9.89,0,500044
45,3005,1001,3815,2,85.35,1.09,2023-08-04,5.97,0,500045
46,4442,1001,1260,2,96.71,0.0,2023-09-13,6.77,1,500046
47,6117,1001,1432,3,45.42,5.68,2023-08-01,3.18,1,500047
48,4201,1001,2688,1,65.83,0.0,2023-09-11,4.61,0,500048
49,4473,1001,523,4,63.56,0.0,2023-10-02,4.45,0,500049
50,1397,1001,205,2,155.19,10.85,2023-10-12,10.86,0,500050
51,4475,1001,5302,1,101.93,2.09,2023-10-12,7.14,0,500051
52,4498,1001,2066,4,57.21,2.8,2023-10-11,4.0,0,500052
53,5194,1001,3756,1,54.15,0.0,2023-10-10,3.79,0,500053
54,1667,1001,5941,4,106.49,1.66,2023-09-07,7.45,1,500054
55,4366,1001,3276,1,68.11,0.63,2023-09-04,4.77,0,500055
56,1004,1001,1296,1,124.9,3.8,2023-08-18,8.74,0,500056
57,5844,1001,3483,1,43.58,5.03,2023-10-04,3.05,0,500057
58,1191,1001,2674,2,128.39,0.0,2023-10-08,8.99,0,500058
59,5677,1001,1943,2,34.26,4.78,2023-08-25,2.4,0,500059
60,5258,1001,3911,2,57.1,0.01,2023-08-16,4.0,1,500060
61,423,1001,1946,3,145.43,0.0,2023-08-08,10.18,0,500061
62,2098,1001,4782,1,115.83,0.0,2023-09-16,8.11,0,500062
63,5590,1001,3689,2,46.84,14.12,2023-09-02,3.28,0,500063
64,1000,1001,1239,2,108.9,3.94,2023-09-27,7.62,0,500064
65,4067,1001,1661,4,99.42,0.0,2023-08-06,6.96,0,500065
66,1419,1001,4439,2,126.48,0.49,2023-09-13,8.85,0,500066
67,1517,1001,1370,4,94.74,0.0,2023-08-11,6.63,0,500067
68,318,1001,4323,1,120.01,0.0,2023-07-19,8.4,1,500068
69,5539,1001,3970,2,57.98,4.18,2023-08-06,4.06,0,500069
70,1124,1001,1901,2,94.36,0.0,2023-08-09,6.61,0,500070
71,6213,1001,2718,4,37.6,5.97,2023-10-07,2.63,0,500071
72,590,1001,3813,1,140.64,0.0,2023-08-28,9.84,0,500072
73,1597,1001,5646,2,142.23,4.92,2023-09-11,9.96,0,500073
74,2298,1001,5504,2,120.26,6.96,2023-08-11,8.42,0,500074
75,2643,1001,2300,1,84.71,3.62,2023-08-25,5.93,0,500075
76,216,1001,5330,1,128.52,0.0,2023-07-18,9.0,0,500076
77,3492,1001,4001,1,98.39,4.41,2023-07-19,6.89,0,500077
78,4060,1001,1332,4,83.84,4.95,2023-10-09,5.87,0,500078
79,6260,1001,4294,2,31.38,7.48,2023-07-24,2.2,0,500079
80,1513,1001,1810,3,136.86,8.81,2023-10-08,9.58,0,500080
81,4369,1001,667,1,74.8,0.0,2023-09-01,5.24,1,500081
82,5639,1001,3388,3,48.33,0.0,2023-07-31,3.38,0,500082
83,484,1001,4755,4,142.97,8.99,2023-07-29,10.01,0,500083
84,4756,1001,1983,1,37.33,0.0,2023-10-13,2.61,0,500084
85,2751,1001,1646,2,83.33,0.0,2023-09-08,5.83,1,500085
86,1300,1001,4581,2,118.74,0.17,2023-10-11,8.31,1,500086
87,6141,1001,3501,4,43.57,0.0,2023-08-05,3.05,0,500087
88,2452,1001,3232,1,122.18,2.41,2023-09-28,8.55,0,500088
89,52,1001,3342,1,142.98,0.0,2023-08-11,10.01,0,500089
90,1946,1001,5312,1,122.18,5.73,2023-09-17,8.55,0,500090
91,5527,1001,2234,1,53.01,7.83,2023-09-14,3.71,0,500091
92,2240,1001,1969,1,115.79,0.0,2023-08-27,8.11,0,500092
93,1019,1001,821,3,131.57,0.0,2023-08-04,9.21,0,500093
94,810,1001,1068,2,112.34,0.0,2023-08-09,7.86,0,500094
95,3169,1001,5162,4,71.01,1.85,2023-08-17,4.97,0,500095
96,3533,1001,2905,3,69.25,0.0,2023-08-29,4.85,0,500096
97,3059,1001,2952,1,89.81,0.0,2023-09-09,6.29,0,500097
98,4082,1001,4811,2,92.83,3.01,2023-08-12,6.5,0,500098
99,2430,1001,1349,1,133.12,0.0,2023-07-18,9.32,1,500099
100,3474,1001,693,2,73.37,8.59,2023-08-04,5.14,0,500100
101,2840,1001,2537,1,76.88,14.28,2023-07-26,5.38,0,500101
102,5510,1001,1594,2,50.78,0.0,2023-07-20,3.55,0,500102
103,4261,1001,1962,2,103.24,0.49,2023-08-22,7.23,0,500103
104,6170,1001,5373,4,43.38,11.62,2023-08-08,3.04,0,500104
105,2723,1001,2252,4,89.48,1.0,2023-07-29,6.26,1,500105
106,1688,1001,2422,3,126.81,0.0,2023-10-10,8.88,0,500106
107,5778,1001,4304,3,56.44,9.4,2023-07-28,3.95,1,500107
108,4632,1001,4450,3,43.17,0.0,2023-10-07,3.02,0,500108
109,3597,1001,516,2,70.53,0.0,2023-07-30,4.94,0,500109
